Created_Date,Complaint_Type,Descriptor
2013-10-27 00:31:12,Illegal Parking,Blocked Sidewalk
2013-10-26 22:25:46,Illegal Parking,Commercial Overnight Parking
2013-10-26 22:17:00,Illegal Parking,Commercial Overnight Parking
2013-10-26 22:13:21,Illegal Parking,Commercial Overnight Parking
2013-10-26 22:02:45,Illegal Parking,Overnight Commercial Storage
2013-10-26 21:59:02,Illegal Parking,Commercial Overnight Parking
2013-10-26 20:32:38,Illegal Parking,Overnight Commercial Storage
2013-10-26 17:17:48,Illegal Parking,Blocked Hydrant
2013-10-26 15:30:46,Illegal Parking,Commercial Overnight Parking
2013-10-26 15:29:20,Illegal Parking,Blocked Hydrant
2013-10-26 15:00:38,Illegal Parking,Commercial Overnight Parking
2013-10-26 14:21:59,Illegal Parking,Overnight Commercial Storage
2013-10-26 14:10:09,Illegal Parking,Posted Parking Sign Violation
2013-10-26 14:03:39,Illegal Parking,Blocked Hydrant
2013-10-26 13:35:43,Illegal Parking,Overnight Commercial Storage
2013-10-26 12:06:18,Illegal Parking,Blocked Sidewalk
2013-10-26 09:39:47,Illegal Parking,Commercial Overnight Parking
2013-10-26 08:46:13,Illegal Parking,Blocked Hydrant
2013-10-26 07:33:31,Illegal Parking,Posted Parking Sign Violation
2013-10-26 06:20:17,Illegal Parking,Blocked Hydrant
2013-10-26 03:07:37,Illegal Parking,Blocked Hydrant
2013-10-26 00:20:34,Illegal Parking,Blocked Hydrant
2013-10-26 00:12:20,Illegal Parking,Blocked Hydrant
2013-10-25 23:16:19,Illegal Parking,Overnight Commercial Storage
2013-10-25 23:11:36,Illegal Parking,Posted Parking Sign Violation
2013-10-25 22:28:40,Illegal Parking,Posted Parking Sign Violation
2013-10-25 22:24:52,Illegal Parking,Blocked Hydrant
2013-10-25 22:14:10,Illegal Parking,Commercial Overnight Parking
2013-10-25 21:57:49,Illegal Parking,Posted Parking Sign Violation
2013-10-25 21:31:03,Illegal Parking,Commercial Overnight Parking
2013-10-25 21:20:35,Illegal Parking,Unauthorized Bus Layover
2013-10-25 21:13:02,Illegal Parking,Commercial Overnight Parking
2013-10-25 20:31:33,Illegal Parking,Blocked Sidewalk
2013-10-25 20:16:00,Illegal Parking,Commercial Overnight Parking
2013-10-25 20:01:34,Illegal Parking,Commercial Overnight Parking
2013-10-25 19:46:05,Illegal Parking,Blocked Sidewalk
2013-10-25 19:01:00,Illegal Parking,Posted Parking Sign Violation
2013-10-25 17:43:18,Illegal Parking,Commercial Overnight Parking
2013-10-25 17:32:42,Illegal Parking,Posted Parking Sign Violation
2013-10-25 14:41:55,Illegal Parking,Commercial Overnight Parking
2013-10-25 14:36:56,Illegal Parking,Posted Parking Sign Violation
2013-10-25 14:07:39,Illegal Parking,Posted Parking Sign Violation
2013-10-25 13:21:06,Illegal Parking,Posted Parking Sign Violation
2013-10-25 13:20:05,Illegal Parking,Posted Parking Sign Violation
2013-10-25 12:57:15,Illegal Parking,Posted Parking Sign Violation
2013-10-25 12:15:40,Illegal Parking,Blocked Sidewalk
2013-10-25 12:02:52,Illegal Parking,Posted Parking Sign Violation
2013-10-25 11:51:17,Illegal Parking,Posted Parking Sign Violation
2013-10-25 09:23:15,Illegal Parking,Posted Parking Sign Violation
2013-10-25 09:03:34,Illegal Parking,Posted Parking Sign Violation
2013-10-25 09:02:16,Illegal Parking,Posted Parking Sign Violation
2013-10-25 08:51:03,Illegal Parking,Blocked Sidewalk
2013-10-25 08:40:23,Illegal Parking,Blocked Hydrant
2013-10-25 08:18:56,Illegal Parking,Posted Parking Sign Violation
2013-10-25 00:53:17,Illegal Parking,Commercial Overnight Parking
2013-10-25 00:01:35,Illegal Parking,Posted Parking Sign Violation
2013-10-24 22:45:56,Illegal Parking,Overnight Commercial Storage
2013-10-24 22:14:22,Illegal Parking,Commercial Overnight Parking
2013-10-24 21:55:07,Illegal Parking,Posted Parking Sign Violation
2013-10-24 21:21:11,Illegal Parking,Commercial Overnight Parking
2013-10-24 21:07:26,Illegal Parking,Commercial Overnight Parking
2013-10-24 20:26:02,Illegal Parking,Posted Parking Sign Violation
2013-10-24 20:08:27,Illegal Parking,Commercial Overnight Parking
2013-10-24 19:41:33,Illegal Parking,Blocked Hydrant
2013-10-24 19:38:30,Illegal Parking,Blocked Hydrant
2013-10-24 19:36:11,Illegal Parking,Blocked Hydrant
2013-10-24 19:28:00,Illegal Parking,Blocked Hydrant
2013-10-24 19:25:32,Illegal Parking,Blocked Hydrant
2013-10-24 19:20:20,Illegal Parking,Blocked Hydrant
2013-10-24 19:16:45,Illegal Parking,Blocked Hydrant
2013-10-24 19:14:04,Illegal Parking,Blocked Hydrant
2013-10-24 19:13:08,Illegal Parking,Blocked Sidewalk
2013-10-24 19:11:44,Illegal Parking,Blocked Hydrant
2013-10-24 19:09:50,Illegal Parking,Blocked Hydrant
2013-10-24 19:07:54,Illegal Parking,Blocked Hydrant
2013-10-24 18:54:07,Illegal Parking,Blocked Hydrant
2013-10-24 18:17:01,Illegal Parking,Commercial Overnight Parking
2013-10-24 15:22:08,Illegal Parking,Blocked Sidewalk
2013-10-24 14:42:37,Illegal Parking,Commercial Overnight Parking
2013-10-24 12:43:40,Illegal Parking,Posted Parking Sign Violation
2013-10-24 12:37:45,Illegal Parking,Posted Parking Sign Violation
2013-10-24 10:58:39,Illegal Parking,Commercial Overnight Parking
2013-10-24 10:12:57,Illegal Parking,Commercial Overnight Parking
