Created_Date,Complaint_Type,Descriptor
2013-10-05 06:44:30,Illegal Parking,Commercial Overnight Parking
2013-10-05 05:50:46,Illegal Parking,Double Parked Blocking Traffic
2013-10-05 05:04:59,Illegal Parking,Double Parked Blocking Traffic
2013-10-05 02:58:07,Illegal Parking,Blocked Hydrant
2013-10-05 02:24:12,Illegal Parking,Commercial Overnight Parking
2013-10-05 00:52:15,Illegal Parking,Blocked Sidewalk
2013-10-05 00:40:05,Illegal Parking,Blocked Hydrant
2013-10-04 23:27:51,Illegal Parking,Commercial Overnight Parking
2013-10-04 22:07:15,Illegal Parking,Double Parked Blocking Traffic
2013-10-04 21:51:25,Illegal Parking,Posted Parking Sign Violation
2013-10-04 21:36:35,Illegal Parking,Posted Parking Sign Violation
2013-10-04 21:25:48,Illegal Parking,Blocked Hydrant
2013-10-04 21:02:25,Illegal Parking,Commercial Overnight Parking
2013-10-04 20:59:20,Illegal Parking,Blocked Hydrant
2013-10-04 19:16:08,Illegal Parking,Blocked Hydrant
2013-10-04 18:58:05,Illegal Parking,Commercial Overnight Parking
2013-10-04 18:38:41,Illegal Parking,Blocked Sidewalk
2013-10-04 17:39:03,Illegal Parking,Overnight Commercial Storage
2013-10-04 17:34:33,Illegal Parking,Overnight Commercial Storage
2013-10-04 17:27:15,Illegal Parking,Overnight Commercial Storage
2013-10-04 17:03:01,Illegal Parking,Double Parked Blocking Vehicle
2013-10-04 16:52:30,Illegal Parking,Double Parked Blocking Vehicle
2013-10-04 16:15:02,Illegal Parking,Posted Parking Sign Violation
2013-10-04 16:11:04,Illegal Parking,Double Parked Blocking Traffic
2013-10-04 15:09:22,Illegal Parking,Posted Parking Sign Violation
2013-10-04 14:38:10,Illegal Parking,Blocked Sidewalk
2013-10-04 14:09:35,Illegal Parking,Double Parked Blocking Traffic
2013-10-04 13:48:46,Illegal Parking,Double Parked Blocking Traffic
2013-10-04 13:26:18,Illegal Parking,Blocked Hydrant
2013-10-04 13:16:58,Illegal Parking,Blocked Sidewalk
2013-10-04 13:07:18,Illegal Parking,Blocked Sidewalk
2013-10-04 10:01:14,Illegal Parking,Blocked Sidewalk
2013-10-04 09:49:38,Illegal Parking,Posted Parking Sign Violation
2013-10-04 08:42:15,Illegal Parking,Double Parked Blocking Traffic
2013-10-04 08:29:54,Illegal Parking,Posted Parking Sign Violation
2013-10-04 07:58:45,Illegal Parking,Blocked Sidewalk
2013-10-04 07:34:32,Illegal Parking,Posted Parking Sign Violation
2013-10-04 05:35:03,Illegal Parking,Blocked Hydrant
2013-10-04 01:32:20,Illegal Parking,Commercial Overnight Parking
2013-10-04 01:08:14,Illegal Parking,Overnight Commercial Storage
2013-10-04 00:28:01,Illegal Parking,Commercial Overnight Parking
2013-10-04 00:13:08,Illegal Parking,Posted Parking Sign Violation
2013-10-04 00:01:05,Illegal Parking,Posted Parking Sign Violation
